SystemCodeNumber,Timestamp,Occupancy,Capacity,QueueLength,TrafficConditionNearby,IsSpecialDay,VehicleType,IsWeekend,IsOfficeHour,Model2Price,Model2Revenue
BHMBCCMKT01,2016-10-05 08:30:00,59,577,1,average,0,car,0,0,10.40243402488642,613.7436074682987
BHMBCCMKT01,2016-10-05 09:04:00,71,577,2,low,0,car,0,1,11.894588767545336,844.5158024957188
BHMBCCMKT01,2016-10-05 09:30:00,83,577,2,average,0,car,0,1,11.601363433265814,962.9131649610625
BHMBCCMKT01,2016-10-05 10:04:00,114,577,3,low,0,car,0,1,12.497966783148446,1424.7682132789228
BHMBCCMKT01,2016-10-05 10:30:00,128,577,4,high,0,truck,0,1,12.523448810956722,1603.0014478024605
BHMBCCMKT01,2016-10-05 11:04:00,148,577,4,average,0,bike,0,1,12.664874065292654,1874.4013616633129
BHMBCCMKT01,2016-10-05 11:30:00,162,577,4,average,0,car,0,1,12.795378450567899,2072.8513089919998
BHMBCCMKT01,2016-10-05 12:04:00,178,577,6,high,0,car,0,1,13.55965727033184,2413.6189941190673
BHMBCCMKT01,2016-10-05 12:30:00,183,577,7,high,0,car,0,1,14.093869781883917,2579.178170084757
BHMBCCMKT01,2016-10-05 12:57:00,175,577,7,high,0,car,0,1,14.079308623136328,2463.8790090488574
BHMBCCMKT01,2016-10-05 13:30:00,179,577,6,high,0,truck,0,1,13.666499772642256,2446.303459302964
BHMBCCMKT01,2016-10-05 13:57:00,174,577,4,average,0,car,0,1,12.81722018868928,2230.196312831935
BHMBCCMKT01,2016-10-05 14:30:00,158,577,5,high,0,car,0,1,12.99814258612804,2053.70652860823
BHMBCCMKT01,2016-10-05 14:57:00,145,577,3,average,0,car,0,1,12.239324200894444,1774.7020091296945
BHMBCCMKT01,2016-10-05 15:30:00,129,577,2,low,0,car,0,1,12.000157168465337,1548.0202747320286
BHMBCCMKT01,2016-10-05 16:04:00,121,577,2,low,0,car,0,1,11.98559600971775,1450.2571171758477
BHMBCCMKT01,2016-10-05 16:30:00,114,577,1,low,0,bike,0,1,11.342720851011812,1293.0701770153466
BHMBCCMKT01,2016-10-06 07:57:00,58,577,1,low,0,car,0,0,10.715680952443872,621.5094952417446
BHMBCCMKT01,2016-10-06 08:30:00,63,577,1,low,0,car,0,0,10.724781676661113,675.6612456296501
BHMBCCMKT01,2016-10-06 08:57:00,70,577,1,low,0,car,0,0,10.737522690565251,751.6265883395675
BHMBCCMKT01,2016-10-06 09:30:00,95,577,2,low,0,car,0,1,11.938272243788095,1134.1358631598691
BHMBCCMKT01,2016-10-06 10:03:00,135,577,3,low,0,car,0,1,12.536189824860863,1692.3856263562163
BHMBCCMKT01,2016-10-06 10:30:00,160,577,3,average,0,car,0,1,12.266626373546167,1962.6602197673867
BHMBCCMKT01,2016-10-06 10:57:00,177,577,3,average,0,car,0,1,12.297568835884789,2176.6696839516076
BHMBCCMKT01,2016-10-06 11:30:00,191,577,4,average,0,cycle,0,1,12.785149236547719,2441.963504180614
BHMBCCMKT01,2016-10-06 12:04:00,199,577,7,high,0,car,0,1,14.122992099379088,2810.4754277764387
BHMBCCMKT01,2016-10-06 12:30:00,206,577,7,high,0,car,0,1,14.135733113283226,2911.961021336345
BHMBCCMKT01,2016-10-06 12:57:00,198,577,5,average,0,car,0,1,13.386015452266873,2650.431059548841
BHMBCCMKT01,2016-10-06 13:30:00,208,577,7,high,0,bike,0,1,14.034351045503158,2919.145017464657
BHMBCCMKT01,2016-10-06 13:57:00,200,577,5,average,0,car,0,1,13.38965574195377,2677.931148390754
BHMBCCMKT01,2016-10-06 14:30:00,175,577,3,average,0,cycle,0,1,12.230915131717712,2140.4101480505997
BHMBCCMKT01,2016-10-06 15:04:00,158,577,2,low,0,car,0,1,12.052941368925335,1904.364736290203
BHMBCCMKT01,2016-10-06 15:31:00,153,577,2,low,0,bike,0,1,11.938818287241128,1826.6391979478926
BHMBCCMKT01,2016-10-06 16:04:00,135,577,1,low,0,bike,0,1,11.380943892724225,1536.4274255177704
BHMBCCMKT01,2016-10-06 16:30:00,129,577,2,low,0,car,0,1,12.000157168465337,1548.0202747320286
BHMBCCMKT01,2016-10-07 08:03:00,58,577,2,low,0,car,0,0,11.240792739778707,651.965978907165
BHMBCCMKT01,2016-10-07 08:30:00,61,577,2,average,0,car,0,0,10.93118610190815,666.8023522163971
BHMBCCMKT01,2016-10-07 09:04:00,75,577,1,low,0,car,0,1,11.376757559584295,853.2568169688221
BHMBCCMKT01,2016-10-07 09:30:00,103,577,2,low,0,car,0,1,11.952833402535681,1231.1418404611752
BHMBCCMKT01,2016-10-07 09:57:00,128,577,2,low,0,bike,0,1,11.893314666154922,1522.34427726783
BHMBCCMKT01,2016-10-07 10:30:00,172,577,5,high,0,truck,0,1,13.128646971403285,2258.127279081365
BHMBCCMKT01,2016-10-07 10:57:00,188,577,3,average,0,car,0,1,12.31759042916272,2315.7070006825916
BHMBCCMKT01,2016-10-07 11:30:00,199,577,4,average,0,bike,0,1,12.757701452308519,2538.782589009395
BHMBCCMKT01,2016-10-07 12:03:00,210,577,7,high,0,car,0,1,14.143013692657021,2970.0328754579746
BHMBCCMKT01,2016-10-07 12:30:00,206,577,7,high,0,bike,0,1,14.03071075581626,2890.3264156981495
BHMBCCMKT01,2016-10-07 13:04:00,200,577,7,high,0,car,0,1,14.124812244222538,2824.9624488445074
BHMBCCMKT01,2016-10-07 13:30:00,201,577,7,high,0,car,0,1,14.126632389065987,2839.4531102022634
BHMBCCMKT01,2016-10-07 14:03:00,193,577,3,average,0,bike,0,1,12.221668795912993,2358.7820776112076
BHMBCCMKT01,2016-10-07 14:30:00,181,577,4,average,0,car,0,1,12.829961202593418,2322.222977669409
BHMBCCMKT01,2016-10-07 15:04:00,172,577,2,low,0,truck,0,1,12.183445754200582,2095.5526697225
BHMBCCMKT01,2016-10-07 15:30:00,159,577,2,low,0,cycle,0,1,11.991748099288607,1906.6879477868886
BHMBCCMKT01,2016-10-07 15:57:00,158,577,2,low,0,cycle,0,1,11.989927954445157,1894.4086168023348
BHMBCCMKT01,2016-10-07 16:30:00,132,577,2,low,0,car,0,1,12.005617602995681,1584.74152359543
BHMBCCMKT01,2016-10-08 07:57:00,58,577,1,low,0,car,1,0,11.555859812179607,670.2398691064172
BHMBCCMKT01,2016-10-08 08:30:00,61,577,2,average,0,car,1,0,11.771364961643886,718.053262660277
BHMBCCMKT01,2016-10-08 08:57:00,75,577,1,low,0,truck,1,0,11.691824631985195,876.8868473988897
BHMBCCMKT01,2016-10-08 09:30:00,104,577,2,low,0,car,1,1,12.794832407114864,1330.662570339946
BHMBCCMKT01,2016-10-08 10:04:00,158,577,3,low,0,car,1,1,13.418232015995908,2120.0806585273535
BHMBCCMKT01,2016-10-08 10:30:00,191,577,3,average,0,truck,1,1,13.268252080895769,2534.2361474510917
BHMBCCMKT01,2016-10-08 10:57:00,223,577,4,average,0,truck,1,1,13.851608503220946,3088.908696218271
BHMBCCMKT01,2016-10-08 11:30:00,254,577,4,average,0,car,1,1,13.803010635900879,3505.9647015188234
BHMBCCMKT01,2016-10-08 12:04:00,306,577,7,high,0,car,1,1,15.157926457363793,4638.325495953321
BHMBCCMKT01,2016-10-08 12:30:00,320,577,8,high,0,car,1,1,15.7085202725069,5026.726487202208
BHMBCCMKT01,2016-10-08 13:04:00,348,577,7,high,0,car,1,1,15.234372540788621,5301.56164419444
BHMBCCMKT01,2016-10-08 13:30:00,357,577,7,high,0,car,1,1,15.250753844379656,5444.519122443537
BHMBCCMKT01,2016-10-08 14:03:00,395,577,4,average,0,bike,1,1,13.954628701360122,5512.078337037248
BHMBCCMKT01,2016-10-08 14:30:00,400,577,4,average,0,car,1,1,14.06875178304433,5627.5007132177325
BHMBCCMKT01,2016-10-08 14:57:00,395,577,4,average,0,car,1,1,14.05965105882709,5553.5621682367
BHMBCCMKT01,2016-10-08 15:30:00,406,577,3,average,0,car,1,1,13.554560864770185,5503.151711096695
BHMBCCMKT01,2016-10-08 16:04:00,381,577,2,low,0,car,1,1,13.299012528750044,5066.923773453766
BHMBCCMKT01,2016-10-08 16:30:00,365,577,2,low,0,truck,1,1,13.374912568721838,4881.843087583471
BHMBCCMKT01,2016-10-09 08:04:00,42,577,2,low,1,car,1,0,13.102072856688938,550.2870599809354
BHMBCCMKT01,2016-10-09 08:30:00,42,577,2,low,1,bike,1,0,12.997050499221972,545.8761209673228
BHMBCCMKT01,2016-10-09 09:04:00,43,577,2,low,1,car,1,1,13.734027146334187,590.56316729237
BHMBCCMKT01,2016-10-09 09:30:00,43,577,2,low,1,cycle,1,1,13.671013731854007,587.8535904697223
BHMBCCMKT01,2016-10-09 09:57:00,50,577,3,average,1,car,1,1,13.95681287517226,697.8406437586129
BHMBCCMKT01,2016-10-09 10:30:00,64,577,5,high,1,cycle,1,1,14.654437990769122,937.8840314092238
BHMBCCMKT01,2016-10-09 11:04:00,100,577,6,average,1,truck,1,1,15.728177836816144,1572.8177836816144
BHMBCCMKT01,2016-10-09 11:30:00,126,577,6,average,1,car,1,1,15.670479245278832,1974.480384905133
BHMBCCMKT01,2016-10-09 11:57:00,148,577,6,average,1,car,1,1,15.710522431834697,2325.157319911535
BHMBCCMKT01,2016-10-09 12:30:00,170,577,9,high,1,truck,1,1,17.115856265461126,2909.6955651283915
BHMBCCMKT01,2016-10-09 13:04:00,189,577,8,high,1,car,1,1,16.520304872684846,3122.337620937436
BHMBCCMKT01,2016-10-09 13:30:00,205,577,9,high,1,bike,1,1,16.969516620047887,3478.750907109817
BHMBCCMKT01,2016-10-09 14:03:00,208,577,7,high,1,cycle,1,1,15.966762422895346,3321.086583962232
BHMBCCMKT01,2016-10-09 14:30:00,209,577,5,average,1,car,1,1,15.296439479950209,3196.9558513095935
BHMBCCMKT01,2016-10-09 15:04:00,191,577,3,low,1,car,1,1,14.528520370499368,2774.947390765379
BHMBCCMKT01,2016-10-09 15:30:00,180,577,3,low,1,car,1,1,14.508498777221439,2611.529779899859
BHMBCCMKT01,2016-10-09 16:03:00,155,577,3,low,1,truck,1,1,14.568017513602198,2258.0427146083407
BHMBCCMKT01,2016-10-09 16:30:00,133,577,2,low,1,car,1,1,13.897840182244535,1848.4127442385231
BHMBCCMKT01,2016-10-10 08:04:00,54,577,1,low,0,bike,0,0,10.603378015603111,572.582412842568
BHMBCCMKT01,2016-10-10 08:30:00,56,577,1,low,0,truck,0,0,10.817063020223943,605.7555291325408
BHMBCCMKT01,2016-10-10 09:04:00,65,577,1,low,0,car,0,1,11.358556111149811,738.3061472247377
BHMBCCMKT01,2016-10-10 09:30:00,73,577,2,low,0,bike,0,1,11.793206699765264,860.9040890828643
BHMBCCMKT01,2016-10-10 10:03:00,92,577,2,low,0,cycle,0,1,11.869798394777568,1092.0214523195364
BHMBCCMKT01,2016-10-10 10:30:00,113,577,4,average,0,cycle,0,1,12.643177938758752,1428.679107079739
BHMBCCMKT01,2016-10-10 10:57:00,144,577,3,average,0,car,0,1,12.237504056050996,1762.2005840713434
BHMBCCMKT01,2016-10-10 11:30:00,149,577,4,average,0,car,0,1,12.771716567603072,1902.9857685728578
BHMBCCMKT01,2016-10-10 11:57:00,159,577,4,average,0,car,0,1,12.789918016037554,2033.596964549971
BHMBCCMKT01,2016-10-10 12:30:00,171,577,6,high,0,car,0,1,13.546916256427703,2316.522679849137
BHMBCCMKT01,2016-10-10 13:04:00,176,577,5,average,0,truck,0,1,13.450994623177976,2367.375053679324
BHMBCCMKT01,2016-10-10 13:30:00,172,577,6,high,0,car,0,1,13.548736401271151,2330.382661018638
BHMBCCMKT01,2016-10-10 14:03:00,161,577,5,high,0,car,0,1,13.003603020658385,2093.580086326
BHMBCCMKT01,2016-10-10 14:30:00,154,577,3,average,0,car,0,1,12.25570550448548,1887.378647690764
BHMBCCMKT01,2016-10-10 14:57:00,137,577,4,average,0,car,0,1,12.74987482948169,1746.7328516389916
BHMBCCMKT01,2016-10-10 15:30:00,129,577,1,low,0,bike,0,1,11.370023023663535,1466.732970052596
BHMBCCMKT01,2016-10-10 15:57:00,130,577,3,average,0,car,0,1,12.21202202824272,1587.5628636715535
BHMBCCMKT01,2016-10-10 16:30:00,114,577,2,low,0,truck,0,1,12.077877353280579,1376.878018273986
BHMBCCMKT01,2016-10-11 08:04:00,56,577,1,average,0,bike,0,0,10.291951232889108,576.3492690417901
BHMBCCMKT01,2016-10-11 08:30:00,64,577,1,low,0,car,0,0,10.726601821504563,686.502516576292
BHMBCCMKT01,2016-10-11 08:57:00,74,577,1,low,0,truck,0,0,10.84982562740601,802.8870964280447
BHMBCCMKT01,2016-10-11 09:30:00,93,577,2,low,0,bike,0,1,11.829609596634231,1100.1536924869836
BHMBCCMKT01,2016-10-11 09:57:00,129,577,2,average,0,bike,0,1,11.580067738597467,1493.8287382790734
BHMBCCMKT01,2016-10-11 10:30:00,167,577,3,average,0,car,0,1,12.279367387450307,2050.654353704201
BHMBCCMKT01,2016-10-11 10:57:00,200,577,3,average,0,car,0,1,12.339432167284098,2467.8864334568198
BHMBCCMKT01,2016-10-11 11:30:00,219,577,5,average,0,car,0,1,13.424238493979285,2939.9082301814633
BHMBCCMKT01,2016-10-11 12:03:00,225,577,7,high,0,car,0,1,14.170315865308744,3188.3210696944675
BHMBCCMKT01,2016-10-11 12:30:00,221,577,8,high,0,cycle,0,1,14.625133658789604,3232.1545385925024
BHMBCCMKT01,2016-10-11 13:04:00,217,577,6,high,0,cycle,0,1,13.567629504746144,2944.1756025299132
BHMBCCMKT01,2016-10-11 13:31:00,217,577,6,high,0,cycle,0,1,13.567629504746144,2944.1756025299132
BHMBCCMKT01,2016-10-11 14:04:00,208,577,4,average,0,bike,0,1,12.774082755899554,2657.0092132271075
BHMBCCMKT01,2016-10-11 14:30:00,191,577,3,average,0,car,0,1,12.323050863693066,2353.7027149653754
BHMBCCMKT01,2016-10-11 15:03:00,167,577,2,low,0,bike,0,1,11.964300315049405,1998.0381526132505
BHMBCCMKT01,2016-10-11 15:33:00,159,577,2,low,0,car,0,1,12.054761513768785,1916.7070806892368
BHMBCCMKT01,2016-10-11 16:01:00,150,577,1,low,0,bike,0,1,11.408246065375948,1711.2369098063923
BHMBCCMKT01,2016-10-11 16:26:00,127,577,2,low,0,car,0,1,11.99651687877844,1523.5576436048618
BHMBCCMKT01,2016-10-12 08:04:00,51,577,1,low,0,bike,0,0,10.597917581072767,540.4937966347111
BHMBCCMKT01,2016-10-12 08:31:00,57,577,2,low,0,car,0,0,11.238972594935257,640.6214379113096
BHMBCCMKT01,2016-10-12 09:03:00,64,577,1,low,0,bike,0,1,11.251713608839395,720.1096709657213
BHMBCCMKT01,2016-10-12 09:26:00,73,577,1,low,0,car,0,1,11.373117269897397,830.23756070251
BHMBCCMKT01,2016-10-12 10:01:00,99,577,3,average,0,car,0,1,12.155597538095822,1203.4041562714865
BHMBCCMKT01,2016-10-12 10:31:00,112,577,3,average,0,bike,0,1,12.074237063593682,1352.3145511224923
BHMBCCMKT01,2016-10-12 11:04:00,127,577,4,average,0,bike,0,1,12.626651023580242,1603.5846799946908
BHMBCCMKT01,2016-10-12 11:31:00,128,577,4,average,0,car,0,1,12.733493525890655,1629.8871713140038
BHMBCCMKT01,2016-10-12 12:04:00,143,577,6,high,0,car,0,1,13.49595220081115,1929.9211647159943
BHMBCCMKT01,2016-10-12 12:31:00,158,577,5,average,0,car,0,1,13.31320965852894,2103.4871260475725
BHMBCCMKT01,2016-10-12 13:04:00,157,577,6,high,0,bike,0,1,13.416411871152459,2106.376663770936
BHMBCCMKT01,2016-10-12 13:34:00,164,577,6,high,0,car,0,1,13.534175242523565,2219.604739773865
BHMBCCMKT01,2016-10-12 14:03:00,167,577,5,high,0,bike,0,1,12.909501532252108,2155.886755886102
BHMBCCMKT01,2016-10-12 14:34:00,159,577,4,average,0,bike,0,1,12.684895658570587,2016.8984097127234
BHMBCCMKT01,2016-10-12 15:01:00,140,577,2,low,0,car,0,1,12.020178761743267,1682.8250266440573
BHMBCCMKT01,2016-10-12 15:30:00,128,577,2,low,0,truck,0,1,12.103359381088854,1549.2300007793733
BHMBCCMKT01,2016-10-12 15:57:00,121,577,2,low,0,car,0,1,11.98559600971775,1450.2571171758477
BHMBCCMKT01,2016-10-12 16:31:00,111,577,2,average,0,cycle,0,1,11.589314074402186,1286.4138622586427
BHMBCCMKT01,2016-10-13 07:57:00,58,577,2,low,0,car,0,0,11.240792739778707,651.965978907165
BHMBCCMKT01,2016-10-13 08:31:00,65,577,1,low,0,car,0,0,10.728421966348009,697.3474278126206
BHMBCCMKT01,2016-10-13 09:04:00,76,577,2,low,0,car,0,1,11.903689491762577,904.6804013739559
BHMBCCMKT01,2016-10-13 09:31:00,97,577,2,low,0,cycle,0,1,11.87889911899481,1152.2532145424966
BHMBCCMKT01,2016-10-13 09:57:00,127,577,2,low,0,bike,0,1,11.891494521311474,1510.2198042065572
BHMBCCMKT01,2016-10-13 10:31:00,166,577,4,average,0,car,0,1,12.802659029941692,2125.241398970321
BHMBCCMKT01,2016-10-13 11:04:00,200,577,4,average,0,truck,0,1,12.969566312085902,2593.9132624171807
BHMBCCMKT01,2016-10-13 11:31:00,220,577,4,average,0,car,0,1,12.9009468514879,2838.208307327338
BHMBCCMKT01,2016-10-13 11:57:00,230,577,4,average,0,car,0,1,12.919148299922384,2971.404108982148
BHMBCCMKT01,2016-10-13 12:31:00,231,577,7,high,0,cycle,0,1,14.118223319889257,3261.3095868944183
BHMBCCMKT01,2016-10-13 13:04:00,214,577,6,high,0,car,0,1,13.62518248469598,2915.78905172494
BHMBCCMKT01,2016-10-13 13:31:00,203,577,6,high,0,cycle,0,1,13.542147476937867,2749.055937818387
BHMBCCMKT01,2016-10-13 13:57:00,205,577,5,average,0,car,0,1,13.398756466171012,2746.7450755650575
BHMBCCMKT01,2016-10-13 14:31:00,181,577,4,average,0,truck,0,1,12.934983560060385,2341.2320243709296
BHMBCCMKT01,2016-10-13 15:04:00,162,577,2,low,0,car,0,1,12.06022194829913,1953.7559556244591
BHMBCCMKT01,2016-10-13 15:31:00,144,577,2,low,0,cycle,0,1,11.964445926636882,1722.880213435711
BHMBCCMKT01,2016-10-13 16:04:00,132,577,2,low,0,car,0,1,12.005617602995681,1584.74152359543
BHMBCCMKT01,2016-10-13 16:31:00,130,577,2,low,0,car,0,1,12.001977313308785,1560.257050730142
BHMBCCMKT01,2016-10-14 08:01:00,53,577,1,low,0,car,0,0,10.70658022822663,567.4487520960114
BHMBCCMKT01,2016-10-14 08:27:00,57,577,1,low,0,car,0,0,10.713860807600424,610.6900660332242
BHMBCCMKT01,2016-10-14 09:01:00,67,577,2,average,0,car,0,1,11.572241115770641,775.340154756633
BHMBCCMKT01,2016-10-14 09:27:00,100,577,2,low,0,car,0,1,11.947372968005336,1194.7372968005336
BHMBCCMKT01,2016-10-14 10:01:00,134,577,2,low,0,car,0,1,12.009257892682578,1609.2405576194656
BHMBCCMKT01,2016-10-14 10:27:00,157,577,3,low,0,car,0,1,12.576233011416724,1974.4685827924257
BHMBCCMKT01,2016-10-14 11:01:00,205,577,5,average,0,car,0,1,13.398756466171012,2746.7450755650575
BHMBCCMKT01,2016-10-14 11:27:00,220,577,5,average,0,car,0,1,13.426058638822735,2953.7329005410015
BHMBCCMKT01,2016-10-14 12:01:00,224,577,7,high,0,car,0,1,14.168495720465298,3173.7430413842267
BHMBCCMKT01,2016-10-14 12:27:00,213,577,5,average,0,bike,0,1,13.30829526745163,2834.666891967197
BHMBCCMKT01,2016-10-14 13:01:00,205,577,6,high,0,truck,0,1,13.713823538571912,2811.333825407242
BHMBCCMKT01,2016-10-14 13:27:00,201,577,7,high,0,car,0,1,14.126632389065987,2839.4531102022634
BHMBCCMKT01,2016-10-14 14:01:00,182,577,4,average,0,bike,0,1,12.726758989969898,2316.2701361745217
BHMBCCMKT01,2016-10-14 14:34:00,174,577,3,average,0,bike,0,1,12.18708604388748,2120.5529716364213
BHMBCCMKT01,2016-10-14 15:01:00,171,577,2,low,0,car,0,1,12.076603251890166,2065.099156073218
BHMBCCMKT01,2016-10-14 15:27:00,161,577,2,low,0,bike,0,1,11.953379445988714,1924.494090804183
BHMBCCMKT01,2016-10-14 16:01:00,138,577,1,low,0,car,0,1,11.491426684721537,1585.8168824915722
BHMBCCMKT01,2016-10-14 16:34:00,134,577,2,low,0,car,0,1,12.009257892682578,1609.2405576194656
BHMBCCMKT01,2016-10-15 08:01:00,53,577,1,low,0,bike,1,0,11.441736730495398,606.4120467162561
BHMBCCMKT01,2016-10-15 08:34:00,63,577,1,low,0,car,1,0,11.56496053639685,728.5925137930016
BHMBCCMKT01,2016-10-15 09:01:00,77,577,2,low,0,car,1,1,12.74568849634176,981.4180142183155
BHMBCCMKT01,2016-10-15 09:27:00,101,577,2,low,0,car,1,1,12.78937197258452,1291.7265692310366
BHMBCCMKT01,2016-10-15 10:01:00,154,577,3,low,0,car,1,1,13.410951436622113,2065.2865212398056
BHMBCCMKT01,2016-10-15 10:27:00,171,577,3,low,0,car,1,1,13.441893898960735,2298.563856722286
BHMBCCMKT01,2016-10-15 11:01:00,211,577,4,average,0,car,1,1,13.7247444076326,2895.9210700104786
BHMBCCMKT01,2016-10-15 11:27:00,239,577,4,average,0,car,1,1,13.775708463249154,3292.394322716548
BHMBCCMKT01,2016-10-15 12:01:00,276,577,8,high,0,car,1,1,15.628433899395178,4313.447756233069
BHMBCCMKT01,2016-10-15 12:27:00,297,577,8,high,0,car,1,1,15.66665694110759,4652.997111508954
BHMBCCMKT01,2016-10-15 13:01:00,332,577,7,high,0,car,1,1,15.205250223293447,5048.143074133424
BHMBCCMKT01,2016-10-15 13:34:00,352,577,8,high,0,car,1,1,15.766764907497247,5549.901247439031
BHMBCCMKT01,2016-10-15 14:01:00,391,577,6,high,0,car,1,1,14.787526981722063,5781.923049853327
BHMBCCMKT01,2016-10-15 14:27:00,409,577,4,average,0,car,1,1,14.085133086635365,5760.819432433864
BHMBCCMKT01,2016-10-15 15:01:00,442,577,3,low,0,car,1,1,13.935153151535225,6159.337692978569
BHMBCCMKT01,2016-10-15 15:27:00,428,577,3,low,0,bike,1,1,13.804648766259982,5908.389671959272
BHMBCCMKT01,2016-10-15 16:01:00,412,577,2,low,0,car,1,1,13.355437018896941,5502.44005178554
BHMBCCMKT01,2016-10-15 16:27:00,393,577,2,low,0,bike,1,1,13.215831909404457,5193.821940395952
BHMBCCMKT01,2016-10-16 08:04:00,48,577,2,low,1,car,1,0,13.112993725749629,629.4236988359821
BHMBCCMKT01,2016-10-16 08:27:00,48,577,2,low,1,bike,1,0,13.00797136828266,624.3826256775677
BHMBCCMKT01,2016-10-16 09:01:00,55,577,2,low,1,car,1,1,13.75586888445557,756.5727886450563
BHMBCCMKT01,2016-10-16 09:27:00,57,577,2,low,1,car,1,1,13.759509174142464,784.2920229261205
BHMBCCMKT01,2016-10-16 10:04:00,57,577,4,low,1,car,1,1,14.809732748812133,844.1547666822916
BHMBCCMKT01,2016-10-16 10:34:00,56,577,3,average,1,bike,1,1,13.862711386765982,776.311837658895
BHMBCCMKT01,2016-10-16 11:01:00,56,577,5,average,1,bike,1,1,14.912934961435651,835.1243578403964
BHMBCCMKT01,2016-10-16 11:27:00,56,577,4,average,1,truck,1,1,14.59786788903475,817.4806017859461
BHMBCCMKT01,2016-10-16 12:01:00,65,577,8,high,1,car,1,1,16.294606912097255,1059.1494492863214
BHMBCCMKT01,2016-10-16 12:27:00,105,577,9,high,1,bike,1,1,16.787502135703054,1762.6877242488206
BHMBCCMKT01,2016-10-16 13:01:00,131,577,8,high,1,car,1,1,16.414736471764844,2150.3304778011943
BHMBCCMKT01,2016-10-16 13:27:00,146,577,6,average,1,car,1,1,15.706882142147798,2293.2047927535787
BHMBCCMKT01,2016-10-16 14:01:00,170,577,7,high,1,bike,1,1,15.855587975857526,2695.4499558957796
BHMBCCMKT01,2016-10-16 14:27:00,180,577,5,average,1,car,1,1,15.243655279490207,2743.8579503082374
BHMBCCMKT01,2016-10-16 15:01:00,192,577,3,low,1,car,1,1,14.530340515342818,2789.8253789458213
BHMBCCMKT01,2016-10-16 15:31:00,185,577,3,low,1,bike,1,1,14.412577143971713,2666.326771634767
BHMBCCMKT01,2016-10-16 15:57:00,173,577,3,low,1,cycle,1,1,14.43274434883712,2496.864772348822
BHMBCCMKT01,2016-10-16 16:31:00,154,577,3,average,1,car,1,1,14.146107938890882,2178.5006225891957
BHMBCCMKT01,2016-10-17 08:01:00,50,577,2,low,0,bike,0,0,11.121209223564152,556.0604611782077
BHMBCCMKT01,2016-10-17 08:27:00,54,577,1,low,0,bike,0,0,10.603378015603111,572.582412842568
BHMBCCMKT01,2016-10-17 09:01:00,66,577,1,low,0,car,0,1,11.36037625599326,749.7848328955553
BHMBCCMKT01,2016-10-17 09:27:00,76,577,2,low,0,truck,0,1,12.008711849229543,912.6621005414453
BHMBCCMKT01,2016-10-17 10:04:00,112,577,3,average,0,car,0,1,12.17925942106065,1364.0770551587927
BHMBCCMKT01,2016-10-17 10:31:00,119,577,5,high,0,bike,0,1,12.822134579766589,1525.834014992224
BHMBCCMKT01,2016-10-17 11:04:00,144,577,6,high,0,car,0,1,13.4977723456546,1943.6792177742623
BHMBCCMKT01,2016-10-17 11:31:00,153,577,6,high,0,car,0,1,13.514153649245632,2067.665508334582
BHMBCCMKT01,2016-10-17 12:04:00,159,577,7,high,0,car,0,1,14.050186305641157,2233.979622596944
